,acteur_1,acteur_2,acteur_3,allocine_id,annee_prod,annee_sortie,box_office_fr,couleur,duree,langues,nationalite,nb_critiques_presse,nb_critiques_spectateurs,nb_notes_spectateurs,note_presse,note_spectateurs,realisateurs,synopsis,titre,type_film,genre
4608,Josh Hartnett,Scarlett Johansson,Hilary Swank,54771,2006,2006.0,419618.0,Couleur,120.0,,"Américain , allemand , français",32.0,630.0,5557.0,2.9,2.5,Brian De Palma,"Dans les années 40 , à Los Angeles , Bucky et Lee , deux inspecteurs , s' attaquent à une affaire de meurtre particulièrement difficile . Une starlette , Elizabeth Short , a été découverte atrocement mutilée . Sa beauté et sa fin tragique deviennent les sujets de conversation de toute la ville . Certains sont prêts à tout pour en tirer bénéfice ... ou cacher leurs secrets . Quels étaient les liens de la victime avec la puissante famille Linscott ? Que vivait - elle dans son intimité ? Et avec qui ? Au-delà des apparences , l' enquête commence ...",Le Dahlia noir,,policier
4913,Josie Ho,George Young,Woo-sik Choi,236098,2015,2016.0,,,104.0,,"Singapourien , hong-kongais",25.0,36.0,216.0,3.4,2.9,Eric Khoo,"C’ est le premier jour d’ Imrah comme femme de chambre à l’ Hôtel Singapura . Dans la suite n ° 27 , un groupe de pop est venu fêter le nouvel an . Parmi eux , leur chanteur Damien est dans un état second quand il croise Imrah dans le couloir . Bien plus tard , dans ce même hôtel , une japonaise laisse filer son amant , un travesti reçoit son dernier plaisir avant l’ opération , une touriste couche devant son meilleur ami … Mais toujours Imrah , en rangeant la chambre , se souviendra de sa rencontre avec Damien .",Hôtel Singapura,Long-métrage,romance
4914,Linda Hardy,Thomas Kretschmann,Charlotte Rampling,43226,2004,2004.0,990372.0,Couleur,102.0,Français,Français,19.0,322.0,3598.0,4.1,2.3,Enki Bilal,"New York 2095.Une pyramide flottante au-dessus de Manhattan ... Une population de mutants , d' extraterrestres , d' humains , réels ou synthétiques ... Une campagne électorale . Un serial killer boulimique qui cherche un corps sain et un dieu à tête de faucon qui n' a que sept jours pour préserver son immortalité . Un pénitencier géostationnaire qui perd un dissident subversif congelé depuis trente ans et une jeune femme sans origine connue , aux cheveux et aux larmes bleus ... Trois noms : Horus , Nikopol , Jill ... Trois êtres aux destins convergeants où tout est truqué : les voix , les corps , les souvenirs . Tout , sauf l' amour qui surgit comme une délivrance .",Immortel ( ad vitam ),Long-métrage,science fiction
4310,Yolande Moreau,Emilie Dequenne,Benjamin Biolay,141753,2010,2010.0,,Couleur,85.0,Français,"Français , belge",17.0,232.0,756.0,2.1,1.4,Franck Richard,"Charlotte fuit sa vie . Sur une route déserte , elle prend Max en stop . Max disparaît dans un routier quelques kilomètres plus loin . Intriguée , Charlotte revient sur les lieux la nuit et se fait surprendre par La Spack , propriétaire du bar , femme étrange en charge d' une drôle de Meute . Le combat de Charlotte commence ...",La Meute,Long-métrage,horreur
2630,Brigitte Bardot,Michel Piccoli,Fritz Lang,239,1963,1963.0,1619020.0,Couleur,105.0,,"Italien , français",,255.0,4475.0,,3.5,Jean-Luc Godard,"Scénariste à succès , Paul Javal travaille à une adaptation de "" L' Odyssée "" , qui doit être tournée par Fritz Lang . Il remarque que Lang est en désaccord avec Prokosch , le producteur américain . Ce dernier voudrait financer un film épique alors que le réalisateur souhaite faire un film psychologique .. .",Le Mépris,Long-métrage,drame
3814,David Hallyday,Michèle Laroque,Lorànt Deutsch,35142,2002,2002.0,2932173.0,Couleur,95.0,Anglais,Américain,15.0,140.0,3182.0,4.1,3.7,"Ron Clements, John Musker","Jim Hawkins , un garçon de quinze ans , vit paisiblement avec sa mère dans une ville portuaire . Un jour , il tombe sur un homme gravement blessé , mais il ne peut le sauver d' une mort certaine . L' homme , du nom de Billy Bones , lui remet un orbe précieux qui contient une carte . Celle-ci mène à un fabuleux trésor de pirates , le légendaire "" butin des mille mondes "" . Le docteur Doppler organise rapidement une expédition à bord du RLS Legacy , un magnifique galion de l' espace . Jim entreprend ce fantastique voyage comme mousse . Grâce aux conseils bienveillants de son ami John Silver , le charismatique cyborg cuisinier du navire , le jeune garçon devient un talentueux navigateur . Il affronte , avec les autres membres de l' équipage , les supernovas , les trous noirs et les terribles tempêtes du cosmos . Mais il découvre bientôt que son vieil ami Silver est en fait un pirate qui complote une mutinerie .","La Planète au trésor , un nouvel univers",,science fiction
1267,Tom Cruise,Dakota Fanning,Justin Chatwin,56393,2005,2005.0,3889930.0,,112.0,Anglais,Américain,22.0,1931.0,41515.0,4.2,3.2,Steven Spielberg,"Ray Ferrier est un docker divorcé et un père rien moins que parfait , qui n' entretient plus que des relations épisodiques avec son fils Robbie , 17 ans , et sa fille Rachel , 11 ans . Quelques minutes après que son ex-femme et l' époux de cette dernière lui ont confié la garde des enfants , un puissant orage éclate . Ray assiste alors à un spectacle qui bouleversera à jamais sa vie ...",La Guerre des Mondes,,science fiction
2463,Anthony Quinn,Giulietta Masina,Richard Basehart,304,1954,1955.0,4529052.0,,108.0,Italien,Italien,5.0,110.0,2669.0,5.0,4.1,Federico Fellini,"Gelsomina a été vendue par sa mère a Zampano , qui la brutalise et ne cesse de la tromper . Ils partent ensemble sur les routes , vivant misérablement du numéro de saltimbanque de Zampano . Surgit Il Matto ( le fou ) , violoniste et poète , qui seul sait parler à Gelsomina .",La Strada,Long-métrage,drame
2448,Bruce Willis,Justin Long,Timothy Olyphant,50575,2007,2007.0,2269598.0,Couleur,129.0,Anglais,Américain,23.0,2107.0,36322.0,3.7,3.6,Len Wiseman,"Pour sa quatrième aventure , l' inspecteur John McClane se trouve confronté à un nouveau genre de terrorisme . Le réseau informatique national qui contrôle absolument toutes les communications , les transports et l' énergie des Etats-Unis , est détruit de façon systématique , plongeant le pays dans le chaos . Le cerveau qui est derrière le complot a tout calculé à la perfection . Ou presque ... Il n' avait pas prévu McClane , un flic de la vieille école qui connait deux ou trois trucs efficaces pour déjouer les attaques terroristes .",Die Hard 4 - retour en enfer,,policier
3539,Michèle Mercier,Robert Hossein,Jean Rochefort,38275,1964,1964.0,2958684.0,Couleur,106.0,Français,"Français , italien , allemand",,54.0,977.0,,2.7,Bernard Borderie,"La jeune Angélique assiste à la fomentation d' un complot entre plusieurs grands du royaume , visant à empoisonner le futur Louis XIV . Afin de la protéger de cette dangereuse découverte , elle est envoyée dans un couvent pour y faire ses études . Les années passent , et quand son père l' en fait sortir prématurément , c' est pour lui apprendre qu' elle est promise au richissime comte de Toulouse qu' on dit boiteux et défiguré par une cicatrice ...",Angélique marquise des anges,Long-métrage,historique
4058,Jamie Lee Curtis,Judy Greer,Andi Matichak,268969,2021,2021.0,,Couleur,106.0,Anglais,Américain,,,,,,David Gordon Green,"Laurie Strode , sa fille Karen et sa petite fille Allyson viennent d’ abandonner le monstre au célèbre masque , enfermé dans le sous-sol de la maison dévorée par les flammes . Grièvement blessée , Laurie est transportée en urgence à l’ Hôpital , avec la certitude qu’ elle vient enfin de se débarrasser de celui qui la harcèle depuis toujours . Mais Micheal Myers parvient à s’ extirper du piège où Laurie l’ avait enfermé et son bain de sang rituel recommence . Surmontant sa douleur pour se préparer à l’ affronter encore une fois , elle va inspirer la ville entière qui décide de l’ imiter et de se soulever pour exterminer ce fléau indestructible . Les trois générations de femmes vont s’ associer à une poignée de survivants du premier massacre , et prennent les choses en main en formant une milice organisée autour de la chasse et la destruction du monstre une fois pour toutes . Le mal meurt cette nuit .",Halloween Kills,Long-métrage,horreur
425,Leonardo DiCaprio,Jonah Hill,Margot Robbie,127524,2013,2013.0,3009494.0,Couleur,179.0,Anglais,Américain,24.0,2551.0,44690.0,4.0,4.2,Martin Scorsese,"L’ argent . Le pouvoir . Les femmes . La drogue . Les tentations étaient là , à portée de main , et les autorités n’ avaient aucune prise . Aux yeux de Jordan et de sa meute , la modestie était devenue complètement inutile . Trop n’ était jamais assez …",Le Loup de Wall Street,,biopic
5482,Yahoo Serious,Odile Le Clezio,John Howard,184101,1988,1990.0,605227.0,Couleur,91.0,,Australien,,6.0,21.0,,2.4,Yahoo Serious,"Une petite comédie séduisante , inventive et sans prétention sur une évocation farfelu du père de la relativité restreinte . Ce n est pas un film de vulgarisation des travaux d' Einstein , mais c' est bo ... Lire la suite",Einstein Junior,Long-métrage,comédie
225,Daisy Ridley,John Boyega,Oscar Isaac,215099,2017,2017.0,7013852.0,Couleur,152.0,Anglais,Américain,40.0,4534.0,34389.0,3.6,3.0,Rian Johnson,Les héros du Réveil de la force rejoignent les figures légendaires de la galaxie dans une aventure épique qui révèle des secrets ancestraux sur la Force et entraîne de surprenantes révélations sur le passé …,Star Wars - Les Derniers Jedi,,science fiction
4711,Charlotte Véry,Herve Furic,Michel Voletti,27585,1991,1992.0,,Couleur,114.0,Français,Français,,23.0,239.0,,3.6,Eric Rohmer,"Pour avoir confondu Levallois et Courbevoie , Félicie a perdu la trace de Charles , un amour de vacances de qui elle a eu une petite fille . Quatre ans ont passé . Elle hésite entre l' amour de Loïc un peu trop intellectuel à son goût , et celui de Maxence qui lui propose de le suivre pour Nevers . Elle accepte , mais n' est -ce pas perdre tout espoir de retrouver la trace de Charles qu' elle aime toujours ?",Conte d' hiver,Long-métrage,drame
1927,Gerard Butler,Tom Wilkinson,Mark Strong,128830,2008,2008.0,79306.0,Couleur,114.0,Anglais,Américain,17.0,516.0,8524.0,2.8,3.7,Guy Ritchie,"Caïd londonien , Lenny travaille à l' ancienne . Ce qui ne l' empêche pas de savoir à qui graisser la patte et de pouvoir faire pression sur n' importe quel ministre , promoteur immobilier ou malfrat en vue . D' un simple coup de fil , Lenny est capable de soulever des montagnes . Mais comme le lui dit Archy , son fidèle lieutenant , Londres est en train de changer : les mafieux des pays de l' Est , comme les petits voyous , cherchent tous à bouleverser les règles du milieu . Désormais , c' est toute la pègre londonienne , des gros bonnets aux petits poissons , qui tente de se remplir les poches en se disputant le coup du siècle . Mais c' est Johnny Quid , rock star toxico qu' on croyait mort , qui a les cartes bien en main ...",RockNRolla,Long-métrage,policier
794,Jean Dujardin,Laurent Lucas,Aurélien Recoing,112382,2007,2007.0,957433.0,Couleur,85.0,Français,Français,20.0,968.0,6945.0,2.1,3.3,Franck Mancuso,"Malinowski , Capitaine à la Crim ' , a l' habitude d' être confronté aux faits-divers les plus durs . Mais lorsque sa propre fille est assassinée , tout bascule . Bouleversés par sa détresse , ses collègues mènent l' enquête au pas de charge et un suspect est bientôt arrêté , puis condamné . Du fond de sa cellule , celui que tout semble accuser clame son innocence et décide d' écrire à Malinowski . Et s' il était innocent ? Face à la douleur du père qui a obtenu justice , le doute du flic s' installe peu à peu . Pour Malinowski , une contre-enquête solitaire commence ...",Contre - enquête,Long-métrage,policier
4131,Bill Moseley,Sheri Moon Zombie,Matthew Willig,260161,2019,,,Couleur,111.0,Anglais,Américain,,,,,,Rob Zombie,"Dernière partie de la trilogie après House of 1,000 Corpses ( 2003 ) et The Devil’ s Rejects ( 2005 ) . Otis , Baby et Spaulding , les trois criminels de l’ enfer ont miraculeusement survécu à leurs blessures . Tous trois emprisonnés chacun de leur côté , ils deviennent un sujet de fascination pour les journalistes et un objet de culte pour leurs fans de plus en plus nombreux . Après un repos bien mérité , les faucheurs de vie s' évadent et repartent s' adonner à leur passion : la destruction .",3 From Hell,Long-métrage,horreur
3155,Franck Dubosc,Richard Berry,Jean-Hugues Anglade,182276,2011,2011.0,502966.0,Couleur,88.0,Français,Français,13.0,417.0,2401.0,2.5,1.8,Dominique Farrugia,"Thomas Gardesse , VRP en système d’ alarme , est arrêté pour un fait mineur et envoyé en prison pour 6 mois . Afin de gagner le respect des détenus il se fait passer pour Le Marquis , un génie du casse dont personne ne connaît le visage . Quinze jours avant sa sortie , un braqueur du nom de Quentin Tasseau le fait évader pour l’ emmener à Manille afin qu’ il participe à un casse dont le commanditaire a besoin des talents du Marquis …",Le Marquis,Long-métrage,policier
5564,Alain Delon,François Périer,Nathalie Delon,4924,1967,1967.0,1935396.0,Couleur,105.0,Français,"Italien , français",,187.0,3969.0,,3.9,Jean-Pierre Melville,"Jeff Costello , dit le Samouraï est un tueur à gages . Alors qu' il sort du bureau où git le cadavre de Martey , sa dernière cible , il croise la pianiste du club , Valérie . En dépit d' un bon alibi , il est suspecté du meurtre par le commissaire chargé de l' enquête . Lorsqu' elle est interrogée par celui-ci , la pianiste feint ne pas le reconnaître . Relâché , Jeff cherche à comprendre la raison pour laquelle la jeune femme a agi de la sorte .",Le Samouraï,Long-métrage,policier
3089,Ben Affleck,Zoe Saldana,Elle Fanning,206180,2016,2017.0,141441.0,Couleur,129.0,Anglais,Américain,29.0,257.0,3056.0,2.9,3.3,Ben Affleck,"Boston , dans les années 20 . Malgré la Prohibition , l' alcool coule à flot dans les bars clandestins tenus par la mafia et il suffit d' un peu d' ambition et d' audace pour se faire une place au soleil . Fils du chef de la police de Boston , Joe Coughlin a rejeté depuis longtemps l' éducation très stricte de son père pour mener une vie de criminel . Pourtant , même chez les voyous , il existe un code d' honneur que Joe n' hésite pas à bafouer : il se met à dos un puissant caïd en lui volant son argent et sa petite amie . Sa liaison passionnelle ne tarde pas à provoquer le chaos . Entre vengeance , trahisons et ambitions contrariées , Joe quittera Boston pour s' imposer au sein de la mafia de Tampa …",Live By Night,Long-métrage,policier
